Day,Percent
1/1/20,0
1/2/20,0
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,1
1/15/20,0
1/16/20,0
1/17/20,3
1/18/20,7
1/19/20,4
1/20/20,10
1/21/20,39
1/22/20,42
1/23/20,59
1/24/20,60
1/25/20,55
1/26/20,48
1/27/20,40
1/28/20,30
1/29/20,24
1/30/20,21
1/31/20,22
2/1/20,20
2/2/20,21
2/3/20,14
2/4/20,15
2/5/20,10
2/6/20,16
2/7/20,9
2/8/20,9
2/9/20,9
2/10/20,10
2/11/20,13
2/12/20,7
2/13/20,7
2/14/20,7
2/15/20,7
2/16/20,7
2/17/20,9
2/18/20,9
2/19/20,8
2/20/20,8
2/21/20,4
2/22/20,7
2/23/20,8
2/24/20,8
2/25/20,8
2/26/20,13
2/27/20,11
2/28/20,15
2/29/20,8
3/1/20,11
3/2/20,14
3/3/20,13
3/4/20,12
3/5/20,8
3/6/20,5
3/7/20,7
3/8/20,7
3/9/20,13
3/10/20,14
3/11/20,15
3/12/20,25
3/13/20,23
3/14/20,22
3/15/20,19
3/16/20,19
3/17/20,73
3/18/20,86
3/19/20,99
3/20/20,100
3/21/20,68
3/22/20,71
3/23/20,54
3/24/20,40
3/25/20,37
3/26/20,36
3/27/20,20
3/28/20,22
3/29/20,23
3/30/20,18
3/31/20,17
4/1/20,22
4/2/20,20
4/3/20,15
4/4/20,19
4/5/20,15
4/6/20,10
4/7/20,12
4/8/20,12
4/9/20,8
4/10/20,10
4/11/20,13
4/12/20,17
4/13/20,11